fund_code,related_sector
001589,中证800指数
001592,创业板指数(价格)
001595,中证银行指数
001618,中证电子指数
001617,中证电子指数
001629,中证计算机主题指数
001630,中证计算机主题指数
001631,中证食品饮料指数
001632,中证食品饮料指数
001879,创业板指数(价格)
001899,中证社会发展安全产业主题指数
002063,沪深300指数
002076,中证500指数
002199,中证军工指数
002236,中证360互联网+大数据100指数
002311,中证500指数
002315,沪深300指数
002310,沪深300指数
002316,中证500指数
002385,沪深300指数
002423,标普美国品质消费股票指数
002510,中证500指数
002611,黄金9999
002610,黄金9999
002656,创业板指数(价格)
002659,中债-1-3年政策性金融债全价(总值)指数
002670,沪深300指数
002671,沪深300指数
002900,中证500信息技术指数
002903,中证500指数
002906,中证500指数
002907,中证500指数
002963,黄金9999
002974,中证全指信息技术指数
002977,中证全指可选消费指数
002978,中证全指医药卫生指数
002979,中证全指金融地产指数
002982,中证养老产业指数
002984,中证环保产业指数
002987,沪深300指数
003015,沪深300指数
003016,中证500指数
003017,中证军工指数
003082,上海清算所银行间1-3年中高等级信用债指数
003081,上海清算所银行间1-3年中高等级信用债指数
003184,中证财通中国可持续发展100(ECPI ESG)指数
003194,中证上海国企指数
003318,中证500行业中性低波动指数
003358,中债7-10年国开行债券全价(总值)指数
003359,中证360互联网+大数据100指数
003377,中债7-10年国开行债券财富(总值)指数
003376,中债7-10年国开行债券财富(总值)指数
003429,中证兴业中高等级信用债指数
003548,沪深300指数
003578,中证500指数
003579,沪深300指数
003647,中证1000指数
003646,中证1000指数
003719,标普500医疗保健等权重指数
003718,标准普尔500指数
003721,标普500信息科技指数
003720,标普生物科技精选行业指数
003722,纳斯达克100指数
003761,中证500指数
003765,创业板指数(价格)
003760,中证500指数
003766,创业板指数(价格)
003876,沪深300指数
003884,沪深300指数
003885,沪深300指数
003957,沪深300指数
003958,沪深300指数
003986,中证500指数
004069,中证全指证券公司指数
004070,中证全指证券公司指数
004190,沪深300指数
004194,中证1000指数
004193,中证500指数
004191,沪深300指数
004192,中证500指数
004195,中证1000指数
004243,道琼斯美国石油开发与生产指数
004253,黄金9999
004342,沪深300指数
004343,创业板指数(价格)
004344,大数据100指数
004346,中证南方小康产业指数
004347,中证500信息技术指数
004345,深证成份指数(价格)
004348,中证500指数
004371,中证科技传媒通信150指数
004407,消费80
004408,深证100指数(价格)
004409,深证电子信息传媒产业50指数
004410,央视财经50指数
004433,有色金属
004432,有色金属
004488,富时中国A50指数
004512,沪深300指数
004513,沪深300指数
004533,中证港股通高股息精选港元指数
004532,中证港股通高股息精选港元指数
004597,中证银行指数
004598,中证银行指数
004642,中证全指房地产指数
004643,中证全指房地产指数
004743,上证中盘
004742,深证100指数(价格)
004744,创业板指数(价格)
004746,上证50指数
004752,中证传媒指数
004753,中证传媒指数
004789,沪深300指数
004788,沪深300指数
004855,中证全指汽车指数
004856,中证全指建筑材料指数
004854,中证全指汽车指数
004857,中证全指建筑材料指数
004870,创业板指数(价格)
004875,深证成份指数(价格)
004876,深证100指数(收益)
004874,巨潮100指数
004881,沪深300指数
004945,中证500指数
004996,恒生综合中型股指数
005051,标普港股通低波红利指数
005052,标普港股通低波红利指数
005063,中证全指家用电器指数
005064,中证全指家用电器指数
005062,中证500指数
005103,沪深300指数
005102,沪深300指数
005112,中证全指医药卫生指数
005114,沪深300指数
005113,沪深300指数
005125,中信标普中国A股红利机会指数
005137,沪深300指数
005152,沪深300指数
005223,中证基建工程指数
005224,中证基建工程指数
005229,富时中国A50指数
005248,沪深300指数
005287,创业板综合指数
005288,创业板综合指数
005313,中证1000指数
005314,中证1000指数
005390,创业板指数(价格)
005391,创业板指数(价格)
005530,沪深300指数
005554,恒生中国企业指数
005555,恒生中国企业指数
005561,中证红利低波动指数
005562,中证红利低波动指数
005608,中证500指数
005607,中证500指数
005613,富时EPRA/NAREIT发达市场指数
005614,富时EPRA/NAREIT发达市场指数
005615,富时EPRA/NAREIT发达市场指数
005623,中债-1-3年农发行债券全价(总值)指数
005624,中债-1-3年农发行债券全价(总值)指数
005626,中证医药主题指数
005627,中证高端制造主题指数
005633,中证500指数
005640,沪深300指数
005639,沪深300指数
005658,沪深300指数
005659,恒生指数
005676,标普全球高端消费品指数
005675,恒生中国企业指数
005691,中证A100指数
005693,中证军工指数
005727,中小创业企业400指数
005733,上证50指数
005734,恒生指数
005737,上证50指数
005735,MSCI中国A股国际通指数
005762,MSCI中国A股国际通指数
005761,MSCI中国A股国际通指数
005789,MSCI中国A股国际通指数
005788,MSCI中国A股国际通指数
005795,中证500指数
005814,中华港股通精选100港元指数
005813,中华港股通精选100港元指数
005830,MSCI中国A股国际通指数
005829,MSCI中国A股国际通指数
005838,中债-1-3年政策性金融债全价(总值)指数
005839,中债-1-3年政策性金融债全价(总值)指数
005850,沪深300指数
005867,沪深300指数
005868,MSCI中国A股国际指数
005870,沪深300指数
005869,MSCI中国A股国际指数
005873,创业板指数(价格)
005874,创业板指数(价格)
005881,上证50指数
005880,上证50指数
005918,沪深300指数
005919,中证500指数
005965,中证500指数
005966,中证500指数
005994,中证500指数
005998,深证基本面120指数
005999,中证金融地产指数
006020,沪深300指数
006021,沪深300指数
006034,MSCI中国A股国际通指数
006048,中证500指数
006075,标准普尔500指数
006087,中证500指数
006098,中证全指证券公司指数
006131,沪深300指数
006127,标普香港上市中国中小盘精选指数
006166,中证1000指数
006165,中证1000指数
006196,中证央企结构调整指数
006197,中证央企结构调整指数
006214,中证500指数
006215,中证500指数
006221,上证50指数
006220,上证50指数
006224,中债-3-5年农发行债券全价(总值)指数
006248,创业板指数(价格)
006249,创业板指数(价格)
006263,恒生综合小型股指数
006286,MSCI中国A股国际通指数
006293,MSCI中国A股国际通指数
006329,中证海外中国互联网50人民币指数
006328,中证海外中国互联网50人民币指数
006327,中证海外中国互联网50人民币指数
006330,中证海外中国互联网50人民币指数
006341,MSCI中国A股国际质量指数
006355,恒生中国(香港上市)30指数
006342,MSCI中国A股国际质量指数
006363,深证基本面60指数
006381,恒生指数
006382,中证500指数
006395,上证50AH优选人民币指数
006409,中债-1-3年国开行债券财富(总值)指数
006410,中债-1-3年国开行债券财富(总值)指数
006438,中证央企结构调整指数
006439,中证央企结构调整指数
006440,中证500指数
006441,中证500指数
006451,中证5年恒定久期国开债指数
006452,中证5年恒定久期国开债指数
006474,中债-1-5年进出口行债券全价(总值)指数
006473,中债-1-5年进出口行债券全价(总值)指数
006479,纳斯达克100指数
006480,纳斯达克100指数
006485,中债-1-3年国开行债券全价(总值)指数
006484,中债-1-3年国开行债券全价(总值)指数
006487,中证1000指数
006481,中高等级短期融资券全价指数
006486,中证1000指数
006493,中债-3-5年农发行债券全价(总值)指数
006494,中债-3-5年农发行债券全价(总值)指数
006491,中债-1-3年国开行债券全价(总值)指数
006492,中债-1-3年国开行债券全价(总值)指数
006525,MSCI中国A股人民币指数
006524,MSCI中国A股人民币指数
006569,中证医药100指数
006593,中证500指数
006594,中证500指数
006600,沪深300指数
006611,中证500指数
006614,恒生港股通新经济指数
006634,中债-1-3年政策性金融债全价(总值)指数
006633,中债-1-3年政策性金融债全价(总值)指数
006656,中证500指数
006657,中证500指数
006680,道琼斯美国石油开发与生产指数
006679,道琼斯美国石油开发与生产指数
006682,中证500指数
006687,深证100指数(价格)
006688,深证100指数(价格)
006697,中证银行指数
006704,MSCI中国A股国际通指数
006705,MSCI中国A股国际通指数
006712,MSCI中国A股消费指数
006713,MSCI中国A股消费指数
006724,深证红利指数
006730,中证500指数
006729,中证500指数
006733,创业板指数(价格)
006746,中债-1-3年农发行债券全价(总值)指数
006744,央视财经50指数
006743,央视财经50指数
006745,中债-1-3年农发行债券全价(总值)指数
006748,中证国信价值指数
006757,中证生物医药指数
006756,中证生物医药指数
006787,中证港股通大消费主题港元指数
006786,中证港股通大消费主题港元指数
006810,中证香港银行投资港元指数
006809,中证香港银行投资港元指数
006848,中债-5-10年农发行债券全价(总值)指数
006849,中债-5-10年农发行债券全价(总值)指数
006909,中国战略新兴产业成份指数
006912,沪深300指数
006910,中国战略新兴产业成份指数
006925,中债-1-3年政策性金融债全价(总值)指数
006928,创业板指数(价格)
006937,沪深300指数
006938,中证500指数
006939,沪深300指数
006959,中债-3-5年农发行债券全价(总值)指数
006962,中债7-10年国开行债券全价(总值)指数
006960,中债-3-5年农发行债券全价(总值)指数
006961,中债7-10年国开行债券全价(总值)指数
007001,中债-1-3年国开行债券全价(总值)指数
007000,中债-1-3年国开行债券全价(总值)指数
007010,中债-1-3年国开行债券全价(总值)指数
007011,中债-1-3年国开行债券全价(总值)指数
007022,中债-1-3年政策性金融债全价(总值)指数
007021,中债-1-3年政策性金融债全价(总值)指数
007026,中债-1-3年国开行债券全价(总值)指数
007029,中证500指数
007027,中债-1-3年国开行债券全价(总值)指数
007035,中债-1-3年国开行债券全价(总值)指数
007028,中证500指数
007044,沪深300指数
007045,沪深300指数
007064,中高等级短期融资券全价指数
007065,中高等级短期融资券全价指数
007073,中高等级短期融资券全价指数
007076,中证医药卫生指数
007078,中债3-5年国开行债券全价(总值)指数
007079,中债3-5年国开行债券全价(总值)指数
007077,中证医药卫生指数
007092,中债3-5年国开行债券全价(总值)指数
007089,中证500指数
007094,中债3-5年国开行债券全价(总值)指数
007093,中债3-5年国开行债券全价(总值)指数
007095,中债3-5年国开行债券全价(总值)指数
007096,沪深300指数
007097,中债-1-3年国开行债券全价(总值)指数
007098,中债-1-3年国开行债券全价(总值)指数
007108,MSCI香港价值增强指数
007107,MSCI香港价值增强指数
007123,中债-1-3年国开行债券全价(总值)指数
007124,中债-1-3年农发行债券财富(总值)指数
007125,中债-1-3年农发行债券财富(总值)指数
007122,中债-1-3年国开行债券全价(总值)指数
007135,中证A100指数
007136,中证A100指数
007143,沪深300指数
007147,中债-1-3年国开行债券全价(总值)指数
007144,沪深300指数
007148,中债-1-3年国开行债券全价(总值)指数
007153,中证银行指数
007155,中债-1-3年久期央企20债券财富(总值)指数
007154,中证银行指数
007165,中债-1-3年政策性金融债全价(总值)指数
007169,中债-1-3年国开行债券全价(总值)指数
007166,中债-1-3年政策性金融债全价(总值)指数
007170,中债-1-3年国开行债券全价(总值)指数
007171,中债3-5年国开行债券全价(总值)指数
007172,中债3-5年国开行债券全价(总值)指数
007178,中华交易服务预期高股息指数
007180,中债-1-3年政策性金融债全价(总值)指数
007181,中债-1-3年政策性金融债全价(总值)指数
007187,中债-3-5年政策性金融债全价(总值)指数
007186,中债-3-5年政策性金融债全价(总值)指数
007191,中证国信价值指数
007197,中债-1-5年农发行债券财富(总值)指数
007198,中债-1-5年农发行债券财富(总值)指数
007208,中债-1-3年久期央企20债券财富(总值)指数
007209,中债-1-3年久期央企20债券财富(总值)指数
007216,中华交易服务预期高股息指数
007223,中证500指数
007228,中债7-10年国开行债券全价(总值)指数
007229,中债7-10年国开行债券全价(总值)指数
007230,沪深300指数
007252,中债农发行债券总全价(总值)指数
007253,中债农发行债券总全价(总值)指数
007259,中债-1-3年农发行债券全价(总值)指数
007275,沪深300指数
007276,沪深300指数
007285,中债-1-5年进出口行债券全价(总值)指数
007284,中债-1-5年进出口行债券全价(总值)指数
007290,中债-1-3年农发行债券全价(总值)指数
007289,中债-1-3年农发行债券全价(总值)指数
007299,中债-京津冀债券综合全价(总值)指数
007300,中证全指半导体产品与设备指数
007301,中证全指半导体产品与设备指数
007325,中债-1-3年国开行债券全价(总值)指数
007324,中债-1-3年国开行债券全价(总值)指数
007335,中债-1-3年农发行债券全价(总值)指数
007339,沪深300指数
007365,中债-1-3年政策性金融债全价(总值)指数
007364,中债-1-3年政策性金融债全价(总值)指数
007379,上证50指数
007380,上证50指数
007386,中证500指数
007390,中债-1-3年农发行债券全价(总值)指数
007397,标普沪港深中国增强价值指数
007404,沪深300指数
007405,中证A100指数
007413,中证500指数
007431,中证浙江凤凰行动50指数
007448,沪深300指数
007464,创业板50指数
007465,创业板50指数
007466,中证红利低波动指数
007467,中证红利低波动指数
007473,创业板低波价值指数
007472,创业板低波价值指数
007474,创业板动量成长指数
007475,创业板动量成长指数
007486,中债3-5年国开行债券全价(总值)指数
007485,中债3-5年国开行债券全价(总值)指数
007495,中债-1-3年政策性金融债全价(总值)指数
007507,中债3-5年国开行债券全价(总值)指数
007506,中证华夏AH经济蓝筹股票人民币指数
007505,中证华夏AH经济蓝筹股票人民币指数
007508,中债3-5年国开行债券全价(总值)指数
007531,中证全指证券公司指数
007538,沪深300指数
007539,沪深300指数
007571,上证380
007580,中证A100指数
007593,中证500质量成长指数
007594,中证500质量成长指数
007606,沪深300红利低波动指数
007605,沪深300红利低波动指数
007657,中证东方红竞争力指数
007658,中证东方红竞争力指数
007664,创业板指数(价格)
007665,创业板指数(价格)
007671,中证红利潜力指数
007672,中证红利潜力指数
007737,中证研发创新100指数
007751,中证沪港深红利成长低波动人民币指数
007760,中证沪港深红利成长低波动人民币指数
007766,中债-1-3年国开行债券全价(总值)指数
007765,中债-1-3年国开行债券全价(总值)指数
007784,中证央企创新驱动指数
007787,中证国企一带一路指数
007785,中证央企创新驱动指数
007786,中证国企一带一路指数
007788,中证国企一带一路指数
007789,中证国企一带一路指数
007792,中证央企创新驱动指数
007793,中证央企创新驱动指数
007794,中证500指数
007796,中证央企创新驱动指数
007795,中证500指数
007800,沪深300价值指数
007797,中证央企创新驱动指数
007799,中小企业100指数
007801,中证红利指数
007804,沪深300指数
007809,中证央企创新驱动指数
007806,MSCI中国A股人民币指数
007807,MSCI中国A股人民币指数
007810,中证央企创新驱动指数
007816,中证新兴科技100策略指数
007815,中证新兴科技100策略指数
007817,中证全指通信设备指数
007818,中证全指通信设备指数
007839,中证长三角一体化发展主题指数
007840,中证长三角一体化发展主题指数
007842,中证杭州湾区指数
007843,中证杭州湾区指数
007844,S&P Oil & Gas Exploration & Production Select Industry
007857,中证800指数
007856,中证800指数
007874,中证科技龙头指数
007873,中证科技龙头指数
007882,沪深300非银行金融指数
007883,沪深300医药卫生指数
007885,中证500指数
007886,中证500指数
007911,上期有色金属指数
007910,上期有色金属指数
007932,中证500指数
007938,大商所豆粕期货价格指数
007937,大商所豆粕期货价格指数
007943,中证500指数
007946,中债-1-3年国开行债券全价(总值)指数
007947,中债-1-3年国开行债券全价(总值)指数
007962,中债-3-5年政策性金融债全价(总值)指数
007963,中债-3-5年政策性金融债全价(总值)指数
007983,中证研发创新100指数
007984,中证研发创新100指数
007992,中证全指证券公司指数
007993,中证全指证券公司指数
007995,中证500指数
007994,中证500指数
008001,中证500指数
008016,中债3-5年国开行债券全价(总值)指数
008015,中债3-5年国开行债券全价(总值)指数
008020,中证人工智能产业指数
008021,中证人工智能产业指数
008042,中证银行50金融债指数
008043,中证银行50金融债指数
008052,粤港澳大湾区创新100指数
008054,中债7-10年国开行债券财富(总值)指数
008057,上证50指数
008056,上证50指数
008053,粤港澳大湾区创新100指数
008055,中债7-10年国开行债券财富(总值)指数
008072,创业板综合指数
008086,中证5G通信主题指数
008087,中证5G通信主题指数
008089,中证全指房地产指数
008088,中证全指房地产指数
008114,中证红利低波动100指数
008112,中证500指数
008115,中证红利低波动100指数
008113,中证500指数
008126,中债-1-3年国开行债券全价(总值)指数
008124,中证500指数
008125,中债-1-3年国开行债券全价(总值)指数
008142,黄金9999
008143,黄金9999
008155,中证嘉实医药健康质量成长100策略指数
008154,中证嘉实医药健康质量成长100策略指数
008163,标普中国A股大盘红利低波50指数
008164,标普中国A股大盘红利低波50指数
008184,沪深300指数
008189,中证钢铁指数
008190,中证钢铁指数
008216,彭博1-3年中国利率债指数
008238,沪深300指数
008240,上证50指数
008239,沪深300指数
008241,上证50指数
008257,中债-1-5年国开行债券全价(总值)指数
008256,中债-1-5年国开行债券全价(总值)指数
008258,中证500指数
008259,中证500指数
008280,中证煤炭指数
008281,中华交易服务半导体芯片行业人民币指数
008282,中华交易服务半导体芯片行业人民币指数
008279,中证煤炭指数
008292,沪深300指数
008291,沪深300指数
008298,中证银行指数
008299,中证银行指数
008326,中证通信技术主题指数
008327,中证通信技术主题指数
008341,中债-安徽省公司信用类债券全价(总值)指数
008340,中债-安徽省公司信用类债券全价(总值)指数
008390,沪深300指数
008391,沪深300指数
008396,中证500指数
008400,中证科技100指数
008397,中证500指数
008399,中证科技100指数
008401,S&P 500 Equal Weight Index
008482,上海清算所0-4年央企80债券全价指数
008483,上海清算所0-4年央企80债券全价指数
008520,中证沪港深优选消费50指数
008519,中证沪港深优选消费50指数
008549,中债-广西壮族自治区公司信用类债券全价(总值)指数
008550,中债-广西壮族自治区公司信用类债券全价(总值)指数
008551,中证医药卫生指数
008552,中证医药卫生指数
008574,中债-1-3年政策性金融债全价(总值)指数
008583,中债-1-3年政策性金融债全价(总值)指数
008585,中证人工智能主题指数
008584,中债-1-3年政策性金融债全价(总值)指数
008586,中证人工智能主题指数
008590,中证全指证券公司指数
008593,沪深300指数
008591,中证全指证券公司指数
008592,沪深300指数
008627,中债-0-5年中高等级江苏省城投类债券全价(总值)指数
008626,中债-0-5年中高等级江苏省城投类债券全价(总值)指数
008652,中债-1-3年政策性金融债全价(总值)指数
008653,中债-1-3年政策性金融债全价(总值)指数
008677,中债-1-3年国开行债券全价(总值)指数
008682,中证红利指数
008701,黄金9999
008702,黄金9999
008706,伦敦富时100指数
008713,中证全指家用电器指数
008707,伦敦富时100指数
008708,伦敦富时100指数
008714,中证全指家用电器指数
008749,中证科技50策略指数
008750,中证科技50策略指数
008778,中证500指数
008779,中证500指数
008776,沪深300指数
008777,沪深300指数
008827,易盛郑商所能源化工指数A
008828,易盛郑商所能源化工指数A
008844,中债-1-3年国开行债券全价(总值)指数
008845,中债-1-3年国开行债券全价(总值)指数
008888,国证半导体芯片指数
008887,国证半导体芯片指数
008889,中证5G通信主题指数
008898,国证创业板中盘精选88指数
008899,国证创业板中盘精选88指数
008907,中证国企一带一路指数
008908,中证国企一带一路指数
008917,中证浙江国资创新发展指数
008916,中证浙江国资创新发展指数
008926,沪深300指数
008927,沪深300指数
008929,中证主要消费红利指数
008933,中债-1-3年国开行债券全价(总值)指数
008928,中证主要消费红利指数
008944,MSCI中国A股人民币指数
008945,MSCI中国A股人民币指数
008957,中债3-5年国开行债券全价(总值)指数
008956,中债3-5年国开行债券全价(总值)指数
008964,中债-1-5年国开行债券全价(总值)指数
008965,中债-1-5年国开行债券全价(总值)指数
008971,纳斯达克100指数
008973,中华交易服务沪深港300人民币指数
008976,中证消费50指数
008975,中证消费50指数
008986,上海金
008987,上海金
009004,中证500指数
009012,创业板指数(价格)
009013,创业板指数(价格)
009033,上海金
009034,上海金
009035,中债-1-3年国开行债券全价(总值)指数
009036,中债-1-3年国开行债券全价(总值)指数
009046,创业板指数(价格)
009047,创业板指数(价格)
009051,中证红利指数
009052,中证红利指数
009060,沪深300指数
009059,沪深300指数
009067,中证新能源汽车指数
009068,中证新能源汽车指数
009088,中债-1-3年政策性金融债财富(总值)指数
009087,中债-1-3年政策性金融债财富(总值)指数
009116,中证消费50指数
009117,中证消费50指数
009171,中债-1-5年国开行债券全价(总值)指数
009172,中债-1-5年国开行债券全价(总值)指数
009180,中证主要消费指数
009179,中证主要消费指数
009198,黄金9999
009208,沪深300指数
009219,彭博农发行债券1-3年指数
009225,中证中美互联网人民币指数
009220,彭博农发行债券1-3年指数
009226,中证中美互联网人民币指数
009239,中证人工智能主题指数
009300,中证500指数
009315,中债-1-3年政策性金融债全价(总值)指数
009316,中债-1-3年政策性金融债全价(总值)指数
009324,中债3-5年国开行债券全价(总值)指数
009325,中债3-5年国开行债券全价(总值)指数
009329,中证消费龙头指数
009336,中证500指数
009337,中证500指数
009422,彭博巴克莱国开行债券1-3年指数
009421,彭博巴克莱国开行债券1-3年指数
009439,中证国有企业红利指数
009472,深证100指数(价格)
009477,上海金
009478,上海金
009504,上海金
009505,上海金
009530,中债-1-5年国开行债券财富(总值)指数
009529,中债-1-5年国开行债券财富(总值)指数
009541,中债-1-3年农发行债券全价(总值)指数
009560,中债-1-3年国开行债券全价(总值)指数
009582,中债-3-5年政策性金融债全价(总值)指数
009581,中债-3-5年政策性金融债全价(总值)指数
009593,中债-1-3年国开行债券全价(总值)指数
009594,中债-1-3年国开行债券全价(总值)指数
009613,中证500指数
009608,中证500指数
009609,中证500指数
009614,中证500指数
009616,中债-0-2年国开行债券全价(总值)指数
009615,中债-0-2年国开行债券全价(总值)指数
009625,中债-3-5年政策性金融债全价(总值)指数
009657,中债-1-5年国开行债券全价(总值)指数
009656,中债-1-5年国开行债券全价(总值)指数
009702,中债-1-3年农发行债券全价(总值)指数
009703,中债-1-3年农发行债券全价(总值)指数
009722,中债-1-5年政策性金融债全价(总值)指数
009726,中证500等权重指数
009727,中证500等权重指数
009721,中债-1-5年政策性金融债全价(总值)指数
009742,中债-0-3年AA+优选信用债全价(总值)指数
009743,中债-0-3年AA+优选信用债全价(总值)指数
009757,中债-1-3年国开行债券全价(总值)指数
009772,彭博巴克莱国开行债券1-5年指数
009773,彭博巴克莱国开行债券1-5年指数
009803,中债7-10年国开行债券全价(总值)指数
009860,中证银行指数
009881,中证医疗指数
009924,中债-1-5年国开行债券全价(总值)指数
009975,标普美国品质消费股票指数
009981,创业板指数(价格)
009982,创业板指数(价格)
010144,国证医药卫生行业指数
010154,中证500指数
010153,中证500指数
010157,中证500指数
010158,中证500指数
010183,创业板指数(价格)
010202,中证科技100指数
010203,中证科技100指数
010210,中证计算机主题指数
010224,中证A100指数
010253,中证500指数
010263,中债-1-3年农发行债券全价(总值)指数
010262,中债-1-3年农发行债券全价(总值)指数
010311,沪深300指数
010352,沪深300指数
010351,中证A100指数
010356,创业板指数(价格)
010355,中证500指数
010364,中证空天一体军工指数
010365,中证香港银行投资人民币指数
010366,中证医药卫生指数
010419,中证环保产业指数
010432,国证2000指数
010497,中债-1-5年政策性金融债财富(总值)指数
010509,彭博政策性银行债券1-5年指数
010524,中证5G通信主题指数
010529,中债-1-5年国开行债券全价(总值)指数
010530,中债-1-5年国开行债券全价(总值)指数
010531,中证申万电子行业投资指数
010556,沪深300指数
010572,中证万得生物科技指数
010573,富时中国A50指数
010581,中债-3-5年政策性金融债全价(总值)指数
010582,中债-3-5年政策性金融债全价(总值)指数
010604,中债-5-10年国开行债券全价(总值)指数
010603,中债-5-10年国开行债券全价(总值)指数
010673,中证800指数
010674,中证800指数
010677,中证传媒指数
010736,沪深300指数
010737,沪深300指数
010772,国证消费100指数
010769,中证农业主题指数
010770,中证农业主题指数
010771,国证消费100指数
010786,创业板指数(收益)
010785,创业板指数(收益)
010789,恒生指数
010805,中证新能源汽车指数
010806,中证新能源汽车指数
010855,沪深300指数
010854,沪深300指数
010860,中债-0-2年国开行债券财富(总值)指数
010859,中债-0-2年国开行债券财富(总值)指数
010872,沪深300指数
010873,沪深300指数
010908,沪深300指数
010909,沪深300指数
010953,国证A50指数
010956,中证智能汽车主题指数
010954,国证A50指数
010955,中证智能汽车主题指数
010992,中证500指数
010989,中证全指房地产指数
010990,有色金属
010993,中证500指数
011035,中证稀土产业指数
011040,国证生物医药指数
011036,中证稀土产业指数
011041,国证生物医药指数
011062,中债7-10年国开行债券财富(总值)指数
011103,中证光伏产业指数
011102,中证光伏产业指数
011132,沪深300质量成长低波动指数
011133,沪深300质量成长低波动指数
011205,中证500指数
011234,中债-1-5年国开行债券全价(总值)指数
011235,中债-1-5年国开行债券全价(总值)指数
011316,创业板300
011317,创业板300
011320,上证综合指数
011319,上证综合指数
011513,中证新能源汽车指数
011512,中证新能源汽车指数
011545,沪深300指数
011546,沪深300指数
011607,中证内地资源主题指数
011608,上证科创板50成份指数
011609,上证科创板50成份指数
011612,上证科创板50成份指数
011611,上证科创板50成份指数
011610,上证科创板50成份指数
011613,上证科创板50成份指数
011614,上证科创板50成份指数
011615,上证科创板50成份指数
011630,中证有色金属指数
011631,中证有色金属指数
011662,中债-1-3年国开行债券全价(总值)指数
011661,中债-1-3年国开行债券全价(总值)指数
011667,中证高端装备制造指数
011668,中证高端装备制造指数
011706,S&P 100 Equal Weight Index
011796,中债-0-3年政策性金融债全价(总值)指数
011797,中债-0-3年政策性金融债全价(总值)指数
011833,中证人工智能主题指数
011832,中证人工智能主题指数
011839,中证人工智能主题指数
011840,中证人工智能主题指数
011853,中证消费龙头指数
011854,中证消费龙头指数
011860,中证1000指数
011861,中证1000指数
011880,中债-1-5年政策性金融债全价(总值)指数
011881,中债-1-5年政策性金融债全价(总值)指数
011965,中证500指数
011964,中证500指数
011966,中证光伏产业指数
011967,中证光伏产业指数
011971,中证银行指数
011974,中债-1-5年农发行债券全价(总值)指数
011973,中债-1-5年农发行债券全价(总值)指数
011972,中证银行指数
011979,中债-1-5年政策性金融债财富(总值)指数
011983,中债-3-5年政策性金融债全价(总值)指数
011993,中债-1-5年政策性金融债财富(总值)指数
011984,中债-3-5年政策性金融债全价(总值)指数
012039,中债-1-5年国开行债券全价(总值)指数
012041,中证国防指数
012040,中证信息技术指数
012042,中证银行指数
012044,中证全指证券公司指数
012043,中证酒指数
012063,中债-1-5年政策性金融债全价(总值)指数
012080,中证500指数
012081,中证500指数
012128,彭博中国政策性银行债券1-3年指数
012129,彭博中国政策性银行债券1-3年指数
012157,上证50指数
012158,上证50指数
012165,彭博巴克莱国开行债券1-3年指数
012168,中债-1-5年进出口行债券全价(总值)指数
012166,中债-1-3年农发行债券财富(总值)指数
012169,中债3-5年国开行债券全价(总值)指数
012172,中债-1-3年国开行债券全价(总值)指数
012180,创业板指数(价格)
012179,创业板指数(价格)
012206,沪深300指数
012207,沪深300指数
012212,中证高端装备制造指数
012213,中证高端装备制造指数
012275,中证沪港深500人民币指数
012276,中证沪港深500人民币指数
012310,中债-3-5年政策性金融债全价(总值)指数
